Source,Target,Label
fur,line,0.1
fur,lion,0.1
fur,leg,0.1
fur,claw,0.1
fur,llama,0.1
fur,neck,0.1
fur,meat,0.1
fur,milk,0.1
fur,load,0.1
fur,beaver,0.1
fur,tooth,0.1
fur,dam,0.1
fur,wall,0.1
fur,stick,0.1
fur,earth,0.1
fur,river,0.1
tooth,piranha,0.1
tooth,fish,0.1
tooth,river,0.15
tooth,meat,0.15
tooth,rabbit,0.1
tooth,animal,0.15
tooth,ear,0.1
tooth,back,0.1
tooth,leg,0.1
tooth,food,0.1
tooth,baboon,0.1
tooth,type,0.1
tooth,monkey,0.1
tooth,africa,0.1
tooth,asia,0.1
tooth,face,0.1
tooth,dog,0.1
tooth,beaver,0.1
tooth,fur,0.1
tooth,tail,0.1
tooth,dam,0.1
tooth,wall,0.1
tooth,stick,0.1
tooth,earth,0.1
tail,kipper,0.1
tail,herring,0.1
tail,butterfly,0.1
tail,fashion,0.1
tail,head,0.2
tail,possum,0.1
tail,marsupial,0.1
tail,australia,0.1
tail,new,0.1
tail,zealand,0.1
tail,tree,0.25
tail,fur,0.45
tail,nose,0.15
tail,kangaroo,0.1
tail,mammal,0.2
tail,leg,0.35
tail,back,0.1
tail,frog,0.1
tail,animal,0.7
tail,skin,0.15
tail,water,0.1
tail,land,0.1
tail,place,0.1
tail,brown,0.1
tail,colour,0.1
tail,poodle,0.1
tail,dog,0.15
tail,hair,0.25
tail,fox,0.1
tail,family,0.2
tail,face,0.2
tail,ear,0.2
tail,raccoon,0.1
tail,mark,0.1
tail,ring,0.15
tail,squirrel,0.1
tail,climb,0.1
tail,nut,0.1
tail,seed,0.1
tail,rat,0.1
tail,rodent,0.1
tail,mouse,0.2
tail,hamster,0.1
tail,space,0.1
tail,side,0.1
tail,mouth,0.1
tail,food,0.1
tail,pet,0.15
tail,monkey,0.2
tail,country,0.1
tail,primate,0.1
tail,group,0.1
tail,human,0.1
tail,ape,0.1
tail,arm,0.1
tail,coati,0.1
tail,south,0.15
tail,america,0.15
tail,pig,0.1
tail,pink,0.1
tail,farm,0.1
tail,meat,0.1
tail,marmoset,0.1
tail,forest,0.1
tail,central,0.1
tail,eye,0.1
tail,nail,0.1
tail,lynx,0.1
tail,cat,0.2
tail,spot,0.1
tail,lizard,0.1
tail,reptile,0.1
tail,body,0.1
tail,hoopoe,0.1
tail,orange,0.1
tail,bird,0.15
tail,africa,0.1
tail,asia,0.1
tail,europe,0.1
tail,beak,0.1
tail,curve,0.1
tail,crest,0.1
tail,feather,0.1
tail,wing,0.15
tail,firefly,0.1
tail,insect,0.1
tail,night,0.1
tail,falcon,0.1
tail,claw,0.1
tail,bobcat,0.1
tail,beaver,0.1
tail,tooth,0.1
tail,dam,0.1
tail,wall,0.1
tail,stick,0.1
tail,earth,0.1
tail,river,0.1
dam,beaver,0.1
dam,animal,0.1
dam,fur,0.1
dam,tooth,0.1
dam,tail,0.1
dam,wall,0.1
dam,stick,0.1
dam,earth,0.1
dam,river,0.1
wall,beaver,0.1
wall,animal,0.1
wall,fur,0.1
wall,tooth,0.1
wall,tail,0.1
wall,dam,0.1
wall,stick,0.1
wall,earth,0.1
wall,river,0.1
stick,beaver,0.1
stick,animal,0.1
stick,fur,0.1
stick,tooth,0.1
stick,tail,0.1
stick,dam,0.1
stick,wall,0.1
stick,earth,0.1
stick,river,0.1
earth,beaver,0.1
earth,animal,0.1
earth,fur,0.1
earth,tooth,0.1
earth,tail,0.1
earth,dam,0.1
earth,wall,0.1
earth,stick,0.1
earth,river,0.1
river,swan,0.1
river,bird,0.1
river,neck,0.1
river,lake,0.35
river,trout,0.1
river,fish,0.3
river,sea,0.15
river,return,0.1
river,egg,0.2
river,food,0.1
river,platypus,0.1
river,beak,0.1
river,catfish,0.1
river,head,0.1
river,hair,0.1
river,mouth,0.1
river,crocodile,0.15
river,reptile,0.15
river,skin,0.15
river,part,0.15
river,world,0.1
river,alligator,0.15
river,nose,0.15
river,america,0.1
river,china,0.1
river,piranha,0.1
river,tooth,0.15
river,meat,0.1
river,carp,0.1
river,chinook,0.1
river,type,0.1
river,salmon,0.1
river,beaver,0.1
river,animal,0.1
river,fur,0.1
river,tail,0.1
river,dam,0.1
river,wall,0.1
river,stick,0.1
river,earth,0.1
bee,insect,0.1
bee,honey,0.1
honey,bee,0.1
honey,insect,0.1
bison,animal,0.1
bison,cow,0.1
bison,head,0.1
bison,shoulder,0.1
bison,hair,0.1
bison,north,0.1
bison,america,0.1
bison,europe,0.1
bison,american,0.1
bison,buffalo,0.1
cow,bull,0.1
cow,male,0.1
cow,animal,0.2
cow,elephant,0.1
cow,whale,0.1
cow,farm,0.1
cow,meat,0.1
cow,milk,0.1
cow,bison,0.1
cow,head,0.1
cow,shoulder,0.1
cow,hair,0.1
cow,north,0.1
cow,america,0.1
cow,europe,0.1
cow,american,0.1
cow,buffalo,0.1
shoulder,bison,0.1
shoulder,animal,0.1
shoulder,cow,0.1
shoulder,head,0.1
shoulder,hair,0.1
shoulder,north,0.1
shoulder,america,0.1
shoulder,europe,0.1
shoulder,american,0.1
shoulder,buffalo,0.1
north,cougar,0.1
north,cat,0.1
north,south,0.1
north,america,0.5
north,moose,0.1
north,type,0.2
north,deer,0.2
north,horn,0.2
north,nose,0.1
north,forest,0.15
north,northern,0.1
north,europe,0.35
north,asia,0.25
north,coyote,0.1
north,animal,0.15
north,dog,0.1
north,reindeer,0.1
north,part,0.15
north,bear,0.1
north,mammal,0.1
north,fur,0.15
north,coat,0.1
north,marmot,0.1
north,squirrel,0.1
north,mountain,0.1
north,area,0.1
north,northwest,0.1
north,pakistan,0.1
north,india,0.1
north,mallard,0.1
north,duck,0.1
north,haddock,0.1
north,fish,0.1
north,atlantic,0.1
north,ocean,0.1
